R204_025
====================================================================================
customer quantity: 25
vehicle quantity: 25
vehicle capacity: 1000.0
cost per distance: 1.0
time per distance: 1.0
====================================================================================
feasible: True
solver runtime: 3600.0493631362915
objective function value: 368.75597309925695
MIP gap: 0.11226262385895817
====================================================================================
|vehicle no.  |time         |node no.     |cargo        |X            |Y            |premium     
------------------------------------------------------------------------------------
|11           |0.0          |0            |85.0         |35.0         |35.0         |No          
|11           |21.213       |7            |85.0         |20.0         |50.0         |No          
|11           |31.213       |7            |80.0         |20.0         |50.0         |No          
|11           |42.394       |19           |80.0         |15.0         |60.0         |No          
|11           |52.394       |19           |63.0         |15.0         |60.0         |No          
|11           |206.0        |11           |63.0         |20.0         |65.0         |No          
|11           |216.0        |11           |51.0         |20.0         |65.0         |No          
|11           |353.008      |10           |51.0         |30.0         |60.0         |No          
|11           |363.008      |10           |35.0         |30.0         |60.0         |No          
|11           |378.82       |20           |35.0         |45.0         |65.0         |No          
|11           |388.82       |20           |26.0         |45.0         |65.0         |No          
|11           |400.0        |9            |26.0         |55.0         |60.0         |No          
|11           |410.0        |9            |10.0         |55.0         |60.0         |No          
|11           |427.804      |1            |10.0         |41.0         |49.0         |No          
|11           |437.804      |1            |0.0          |41.0         |49.0         |No          
|11           |1000.0       |0            |0.0          |35.0         |35.0         |No          
------------------------------------------------------------------------------------
|12           |0.0          |0            |47.0         |35.0         |35.0         |No          
|12           |460.56       |18           |47.0         |20.0         |40.0         |No          
|12           |470.56       |18           |35.0         |20.0         |40.0         |No          
|12           |481.0        |8            |35.0         |10.0         |43.0         |No          
|12           |491.0        |8            |26.0         |10.0         |43.0         |No          
|12           |809.929      |6            |26.0         |25.0         |30.0         |No          
|12           |819.929      |6            |23.0         |25.0         |30.0         |No          
|12           |827.0        |13           |23.0         |30.0         |25.0         |No          
|12           |837.0        |13           |0.0          |30.0         |25.0         |No          
|12           |1000.0       |0            |0.0          |35.0         |35.0         |No          
------------------------------------------------------------------------------------
|21           |0.0          |0            |200.0        |35.0         |35.0         |No          
|21           |20.616       |5            |200.0        |15.0         |30.0         |No          
|21           |30.616       |5            |174.0        |15.0         |30.0         |No          
|21           |40.616       |17           |174.0        |5.0          |30.0         |No          
|21           |50.616       |17           |172.0        |5.0          |30.0         |No          
|21           |61.796       |16           |172.0        |10.0         |20.0         |No          
|21           |71.796       |16           |153.0        |10.0         |20.0         |No          
|21           |82.976       |14           |153.0        |15.0         |10.0         |No          
|21           |92.976       |14           |133.0        |15.0         |10.0         |No          
|21           |175.0        |15           |133.0        |30.0         |5.0          |No          
|21           |185.0        |15           |125.0        |30.0         |5.0          |No          
|21           |198.0        |2            |125.0        |35.0         |17.0         |No          
|21           |208.0        |2            |118.0        |35.0         |17.0         |No          
|21           |218.44       |21           |118.0        |45.0         |20.0         |No          
|21           |228.44       |21           |107.0        |45.0         |20.0         |No          
|21           |238.44       |22           |107.0        |45.0         |10.0         |No          
|21           |248.44       |22           |89.0         |45.0         |10.0         |No          
|21           |325.0        |23           |89.0         |55.0         |5.0          |No          
|21           |335.0        |23           |60.0         |55.0         |5.0          |No          
|21           |678.0        |4            |60.0         |55.0         |20.0         |No          
|21           |688.0        |4            |41.0         |55.0         |20.0         |No          
|21           |817.0        |25           |41.0         |65.0         |20.0         |No          
|21           |827.0        |25           |35.0         |65.0         |20.0         |No          
|21           |842.0        |24           |35.0         |65.0         |35.0         |No          
|21           |852.0        |24           |32.0         |65.0         |35.0         |No          
|21           |866.142      |3            |32.0         |55.0         |45.0         |No          
|21           |876.142      |3            |19.0         |55.0         |45.0         |No          
|21           |887.322      |12           |19.0         |50.0         |35.0         |No          
|21           |897.322      |12           |0.0          |50.0         |35.0         |No          
|21           |1000.0       |0            |0.0          |35.0         |35.0         |No          
------------------------------------------------------------------------------------
