R101_025_blended_w0.4_0.6
====================================================================================
customer quantity: 25
vehicle quantity: 25
vehicle capacity: 200.0
cost per distance: 1.0
time per distance: 1.0
====================================================================================
feasible: True
solver runtime: 901.231999874115
objective function value: 78813.97990802456
MIP gap: 0
====================================================================================
|vehicle no.  |time         |node no.     |cargo        |X            |Y           
------------------------------------------------------------------------------------
|3            |0.0          |0            |49.0         |35.0         |35.0        
|3            |32.631       |5            |49.0         |15.0         |30.0        
|3            |42.631       |5            |23.0         |15.0         |30.0        
|3            |52.631       |17           |23.0         |5.0          |30.0        
|3            |62.631       |17           |21.0         |5.0          |30.0        
|3            |76.56        |8            |21.0         |10.0         |43.0        
|3            |86.56        |8            |12.0         |10.0         |43.0        
|3            |97.0         |18           |12.0         |20.0         |40.0        
|3            |107.0        |18           |0.0          |20.0         |40.0        
|3            |230.0        |0            |0.0          |35.0         |35.0        
------------------------------------------------------------------------------------
|4            |0.0          |0            |100.0        |35.0         |35.0        
|4            |18.028       |21           |100.0        |45.0         |20.0        
|4            |28.028       |21           |89.0         |45.0         |20.0        
|4            |38.028       |4            |89.0         |55.0         |20.0        
|4            |48.028       |4            |70.0         |55.0         |20.0        
|4            |63.028       |23           |70.0         |55.0         |5.0         
|4            |73.028       |23           |41.0         |55.0         |5.0         
|4            |84.208       |22           |41.0         |45.0         |10.0        
|4            |94.208       |22           |23.0         |45.0         |10.0        
|4            |115.421      |13           |23.0         |30.0         |25.0        
|4            |125.421      |13           |0.0          |30.0         |25.0        
|4            |230.0        |0            |0.0          |35.0         |35.0        
------------------------------------------------------------------------------------
|5            |0.0          |0            |32.0         |35.0         |35.0        
|5            |22.361       |3            |32.0         |55.0         |45.0        
|5            |32.361       |3            |19.0         |55.0         |45.0        
|5            |43.541       |12           |19.0         |50.0         |35.0        
|5            |53.541       |12           |0.0          |50.0         |35.0        
|5            |230.0        |0            |0.0          |35.0         |35.0        
------------------------------------------------------------------------------------
|15           |0.0          |0            |50.0         |35.0         |35.0        
|15           |21.213       |7            |50.0         |20.0         |50.0        
|15           |31.213       |7            |45.0         |20.0         |50.0        
|15           |42.394       |19           |45.0         |15.0         |60.0        
|15           |52.394       |19           |28.0         |15.0         |60.0        
|15           |77.0         |11           |28.0         |20.0         |65.0        
|15           |87.0         |11           |16.0         |20.0         |65.0        
|15           |134.0        |10           |16.0         |30.0         |60.0        
|15           |144.0        |10           |0.0          |30.0         |60.0        
|15           |230.0        |0            |0.0          |35.0         |35.0        
------------------------------------------------------------------------------------
|18           |0.0          |0            |57.0         |35.0         |35.0        
|18           |18.0         |2            |57.0         |35.0         |17.0        
|18           |28.0         |2            |50.0         |35.0         |17.0        
|18           |32.729       |15           |50.0         |30.0         |5.0         
|18           |42.729       |15           |42.0         |30.0         |5.0         
|18           |50.27        |14           |42.0         |15.0         |10.0        
|18           |60.27        |14           |22.0         |15.0         |10.0        
|18           |63.18        |16           |22.0         |10.0         |20.0        
|18           |73.18        |16           |3.0          |10.0         |20.0        
|18           |91.208       |6            |3.0          |25.0         |30.0        
|18           |101.208      |6            |0.0          |25.0         |30.0        
|18           |230.0        |0            |0.0          |35.0         |35.0        
------------------------------------------------------------------------------------
|20           |0.0          |0            |44.0         |35.0         |35.0        
|20           |15.232       |1            |44.0         |41.0         |49.0        
|20           |25.232       |1            |34.0         |41.0         |49.0        
|20           |41.724       |20           |34.0         |45.0         |65.0        
|20           |51.724       |20           |25.0         |45.0         |65.0        
|20           |62.904       |9            |25.0         |55.0         |60.0        
|20           |72.904       |9            |9.0          |55.0         |60.0        
|20           |99.83        |24           |9.0          |65.0         |35.0        
|20           |109.83       |24           |6.0          |65.0         |35.0        
|20           |182.0        |25           |6.0          |65.0         |20.0        
|20           |192.0        |25           |0.0          |65.0         |20.0        
|20           |230.0        |0            |0.0          |35.0         |35.0        
------------------------------------------------------------------------------------
