C101_050_blended_w0.8_0.19999999999999996
====================================================================================
customer quantity: 50
vehicle quantity: 25
vehicle capacity: 200.0
cost per distance: 1.0
time per distance: 1.0
====================================================================================
feasible: True
solver runtime: 901.6719999313354
objective function value: 82867.39407958351
MIP gap: 0
====================================================================================
|vehicle no.  |time         |node no.     |cargo        |X            |Y           
------------------------------------------------------------------------------------
|2            |0.0          |0            |140.0        |40.0         |50.0        
|2            |15.133       |25           |140.0        |25.0         |52.0        
|2            |105.133      |25           |100.0        |25.0         |52.0        
|2            |219.979      |27           |100.0        |23.0         |52.0        
|2            |309.979      |27           |90.0         |23.0         |52.0        
|2            |313.584      |29           |90.0         |20.0         |50.0        
|2            |403.584      |29           |80.0         |20.0         |50.0        
|2            |408.584      |30           |80.0         |20.0         |55.0        
|2            |498.584      |30           |70.0         |20.0         |55.0        
|2            |501.584      |28           |70.0         |23.0         |55.0        
|2            |591.584      |28           |50.0         |23.0         |55.0        
|2            |593.584      |26           |50.0         |25.0         |55.0        
|2            |683.584      |26           |40.0         |25.0         |55.0        
|2            |873.0        |22           |40.0         |28.0         |52.0        
|2            |963.0        |22           |20.0         |28.0         |52.0        
|2            |965.0        |21           |20.0         |30.0         |52.0        
|2            |1055.0       |21           |0.0          |30.0         |52.0        
|2            |1236.0       |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|5            |0.0          |0            |140.0        |40.0         |50.0        
|5            |30.806       |13           |140.0        |22.0         |75.0        
|5            |120.806      |13           |110.0        |22.0         |75.0        
|5            |142.738      |3            |110.0        |42.0         |66.0        
|5            |232.738      |3            |100.0        |42.0         |66.0        
|5            |324.0        |8            |100.0        |38.0         |68.0        
|5            |414.0        |8            |80.0         |38.0         |68.0        
|5            |416.0        |9            |80.0         |38.0         |70.0        
|5            |506.0        |9            |70.0         |38.0         |70.0        
|5            |508.236      |6            |70.0         |40.0         |69.0        
|5            |598.236      |6            |50.0         |40.0         |69.0        
|5            |600.472      |4            |50.0         |42.0         |68.0        
|5            |690.472      |4            |40.0         |42.0         |68.0        
|5            |694.078      |2            |40.0         |45.0         |70.0        
|5            |784.078      |2            |10.0         |45.0         |70.0        
|5            |967.0        |1            |10.0         |45.0         |68.0        
|5            |1057.0       |1            |0.0          |45.0         |68.0        
|5            |1236.0       |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|6            |0.0          |0            |10.0         |40.0         |50.0        
|6            |10.0         |20           |10.0         |30.0         |50.0        
|6            |100.0        |20           |0.0          |30.0         |50.0        
|6            |1236.0       |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|8            |0.0          |0            |160.0        |40.0         |50.0        
|8            |36.056       |15           |160.0        |20.0         |80.0        
|8            |126.056      |15           |120.0        |20.0         |80.0        
|8            |131.441      |17           |120.0        |18.0         |75.0        
|8            |221.441      |17           |100.0        |18.0         |75.0        
|8            |224.441      |18           |100.0        |15.0         |75.0        
|8            |314.441      |18           |80.0         |15.0         |75.0        
|8            |319.441      |19           |80.0         |15.0         |80.0        
|8            |409.441      |19           |70.0         |15.0         |80.0        
|8            |416.512      |16           |70.0         |20.0         |85.0        
|8            |506.512      |16           |30.0         |20.0         |85.0        
|8            |620.0        |14           |30.0         |22.0         |85.0        
|8            |710.0        |14           |20.0         |22.0         |85.0        
|8            |721.0        |12           |20.0         |25.0         |85.0        
|8            |811.0        |12           |0.0          |25.0         |85.0        
|8            |1236.0       |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|10           |0.0          |0            |200.0        |40.0         |50.0        
|10           |31.623       |32           |200.0        |10.0         |40.0        
|10           |121.623      |32           |170.0        |10.0         |40.0        
|10           |123.623      |33           |170.0        |8.0          |40.0        
|10           |213.623      |33           |130.0        |8.0          |40.0        
|10           |219.008      |31           |130.0        |10.0         |35.0        
|10           |309.008      |31           |110.0        |10.0         |35.0        
|10           |314.008      |35           |110.0        |5.0          |35.0        
|10           |404.008      |35           |100.0        |5.0          |35.0        
|10           |409.839      |37           |100.0        |2.0          |40.0        
|10           |499.839      |37           |80.0         |2.0          |40.0        
|10           |501.839      |38           |80.0         |0.0          |40.0        
|10           |591.839      |38           |50.0         |0.0          |40.0        
|10           |596.839      |39           |50.0         |0.0          |45.0        
