RC106_050
====================================================================================
customer quantity: 50
vehicle quantity: 25
vehicle capacity: 200.0
cost per distance: 1.0
time per distance: 1.0
====================================================================================
feasible: True
solver runtime: 3600.0442600250244
objective function value: 724.6529235808565
MIP gap: 0.4775929051016244
====================================================================================
|vehicle no.  |time         |node no.     |cargo        |X            |Y            |premium     
------------------------------------------------------------------------------------
|1            |0.0          |0            |200.0        |40.0         |50.0         |No          
|1            |33.541       |42           |200.0        |55.0         |80.0         |No          
|1            |43.541       |42           |190.0        |55.0         |80.0         |No          
|1            |49.0         |44           |190.0        |55.0         |82.0         |No          
|1            |59.0         |44           |180.0        |55.0         |82.0         |No          
|1            |64.385       |39           |180.0        |60.0         |80.0         |No          
|1            |74.385       |39           |170.0        |60.0         |80.0         |No          
|1            |79.385       |40           |170.0        |60.0         |85.0         |No          
|1            |89.385       |40           |140.0        |60.0         |85.0         |No          
|1            |94.385       |36           |140.0        |65.0         |85.0         |No          
|1            |104.385      |36           |100.0        |65.0         |85.0         |No          
|1            |111.716      |38           |100.0        |62.0         |80.0         |No          
|1            |121.716      |38           |70.0         |62.0         |80.0         |No          
|1            |128.119      |41           |70.0         |58.0         |75.0         |No          
|1            |138.119      |41           |50.0         |58.0         |75.0         |No          
|1            |148.56       |43           |50.0         |55.0         |85.0         |No          
|1            |158.56       |43           |30.0         |55.0         |85.0         |No          
|1            |169.0        |37           |30.0         |65.0         |82.0         |No          
|1            |179.0        |37           |20.0         |65.0         |82.0         |No          
|1            |184.0        |35           |20.0         |67.0         |85.0         |No          
|1            |194.0        |35           |0.0          |67.0         |85.0         |No          
|1            |239.311      |0            |0.0          |40.0         |50.0         |No          
------------------------------------------------------------------------------------
|6            |0.0          |0            |200.0        |40.0         |50.0         |No          
|6            |44.0         |11           |200.0        |8.0          |40.0         |No          
|6            |54.0         |11           |160.0        |8.0          |40.0         |No          
|6            |59.0         |12           |160.0        |8.0          |45.0         |No          
|6            |69.0         |12           |140.0        |8.0          |45.0         |No          
|6            |72.0         |14           |140.0        |5.0          |45.0         |No          
|6            |82.0         |14           |130.0        |5.0          |45.0         |No          
|6            |85.0         |47           |130.0        |2.0          |45.0         |No          
|6            |95.0         |47           |120.0        |2.0          |45.0         |No          
|6            |102.568      |15           |120.0        |2.0          |40.0         |No          
|6            |112.568      |15           |100.0        |2.0          |40.0         |No          
|6            |114.568      |16           |100.0        |0.0          |40.0         |No          
